Keyword,Source,Sentence,隐含情绪,情绪动机,置信度
道德绑架,comment,我还有一年多就能离开这个难绷的校园生活了，我会努力把自己送去更好的地方的,正面,学业,low
道德绑架,comment,回复：好的宝贝，加油加油,正面,学业,low
道德绑架,comment,七月二十三号：早上突然暴起（我还没睡醒），冲进我房间（哦不对，我没有房间，是掀开我用来充当墙壁和门的帘子）掠夺走我的手机,正面,学业,low
道德绑架,comment,她会说，对，就是因为你不努力才会这样,正面,学业,low
道德绑架,comment,让自己慢下来，慢也是快， 没有哪个皮筋一直绷紧，还不断的 所以别管，你按你的想法来 休息的时候好好休息，休息好了就全身心投入加油,正面,学业,low
道德绑架,comment,回复：落人一步呗 需要更多努力呗,正面,学业,low
道德绑架,comment,回复：那就努力让自己成为可以托举下一代的人呗，人家一代代努力过来的，很多人质疑不公又不肯自己努力成为第一代,正面,学业,low
道德绑架,comment,回复：三代人总得有一代人努力，有钱的父母有实力托举孩子，这没错,正面,学业,low
道德绑架,comment,感觉时代不同了，现在年轻人确实找工作难，在工作上有大发展也很难，现在考公考研卷成这个样子，大家也挺努力的，可是依然没有很好的发展机会呀,正面,学业,low
道德绑架,comment,回复：没事，靠自己也能越来越好的加油,正面,学业,low
道德绑架,comment,托举是为了踩在更高的平台向上蹦，兜底是为了摔下来也摔不残，这些都跟自立不冲突，甚至在今天想要更好地“自立”首先就需要被“托举”并抱有一份有人“兜底”的安全感……,正面,学业,low
道德绑架,comment,家长托举而自己不努力，也是推卸责任,正面,学业,low
道德绑架,comment,回复：是的托举和自立并不冲突啊，况且发生的人生阶段也不一样，以前上学时候，我也没有经济来源，肯定是父母托举我，工作以后，我有自己的事业和稳定的收入了，肯定就自立了那我自立了，以后也会托举我的宝宝在我的理解里，这也算一种传承吧，父母的托举—我的自立—我继续托举下一代,正面,学业,low
道德绑架,comment,托举是全家人一起努力，是代际接力，扶不上墙的烂泥根本举都举不动那就不叫托举啦,正面,学业,low
道德绑架,comment,而且自立和托举不冲突，不是说父母资金注入自己就不努力了,正面,学业,low
道德绑架,comment,这个事根本不冲突，冲突在于都去要求对方，而不是要求自己，作为子女应该想办法让自己自立，作为父母要想办法尽量托举,正面,学业,low
道德绑架,content,妈妈是自己开了一个小店，但受到网购的冲击再加上房东的加租，这些年也没有之前好赚钱了,正面,学业,low
道德绑架,comment,邻里关系：这种行为会彻底激化矛盾，将原本可能存在的“斗智斗勇”升级为直接的对抗，可能导致更严重的报复或冲突,正面,学业,low
道德绑架,comment,回复：哈哈，一代一代人觉察和努力会越来越好的,正面,学业,low
重男轻女,comment,加油，共勉,正面,学业,low
重男轻女,comment,回复：是啊，还是小眯眯没有任何自保和生存能力的时候,正面,学业,low
重男轻女,comment,回复：两个办法吧 你去外地工作 或者避开和她作息 我现在是第二种 准备往第一种努力,正面,学业,low
重男轻女,comment,“真空”与“冲突”的区别：有心理学观点认为，一个完全缺席的父亲留下的可能是一个“真空”，而一个在场但糟糕的父亲留下的则是“冲突”,正面,学业,low
重男轻女,comment,生儿子也一样，不要美化没有发生的事，他自己不努力和你是男是女没关系，不负责任的人始终是不负责任,正面,学业,low
重男轻女,content,而且儿子的话你还要讨老婆，我们也要努力给你多存点钱,正面,学业,low
重男轻女,content,但讨论到养儿子和养女儿的责任和义务方面，很多人养儿子会尽最大努力扶持他成家立业，甚至在儿子组成小家之后仍然不遗余力地帮扶，给钱给做家务带小孩，这才称得上是靠谱的父母,正面,学业,low
重男轻女,comment,但是你爸爸的苦是他自己造成的，你要好好努力学本领，以后照顾好自己,正面,学业,low
重男轻女,comment,回复：是啊，而我们努力想要得到的东西，也只是他们茶余饭后的笑话,正面,学业,low
重男轻女,comment,我也不想做婆婆，然后如愿的生了个儿子努力赚钱吧，不想出力就给钱，说真的以后不想带孙,正面,学业,low
重男轻女,comment,冲三胎 你这颜值不要浪费基因啊,正面,学业,low
重男轻女,content,在这种家庭角色的驱动下，长女从来都无法为自己设立健康、明确的界限，导致你往往会在面对他人要求时，难以果断地说“不”或“停止”，而是不断地迎合和妥协，以避免冲突和失望,正面,学业,low
重男轻女,comment,现在我在努力申博，相比较我其他朋友父母而言，他们给了我很大的支持，而没有强制我工作养家,正面,学业,low
原生家庭,comment,回复：抓紧搬走，加油,正面,学业,low
原生家庭,comment,花钱的3+2大专不让上，努力争取上了1年的中专,正面,学业,low
原生家庭,comment,回复：被我冲击到的路人不好意思，因为我只能在别人评论区里才愿意说一些真话,正面,学业,low
原生家庭,comment,毕业之后，情形每况愈下，他们会把你找不到工作全部归结于你个人的问题，他们当年有工作全靠他们的个人努力因为他们根本不懂，他们个人的努力在国家发展增长之下其实微不足道别问我为什么在这个时间发这种帖子,正面,学业,low
原生家庭,comment,回复：这样的话宝宝你就不要搭理 然后努力出去 不在家和他们住 自己过好自己的生活 抱抱你,正面,学业,low
原生家庭,content,. 💡 写在最后： 在伴侣身上寻找童年的解药， 是你内心那个受过伤的小孩，在努力地想让自己好起来,正面,学业,low
原生家庭,comment,辛苦你了，未来的路也要加油,正面,学业,low
原生家庭,comment,姐，努力工作，多多挣钱，没有任何东西比钱更能让你和你女儿的生活好起来，别想她爸对她好不好了，你才是对她最好的人,正面,学业,low
原生家庭,comment,她很努力回应了,正面,学业,low
原生家庭,comment,成长课题：这种内在冲突容易消耗你的心理能量,正面,学业,low
原生家庭,comment,理性的缓冲地带：第二题和第四题选择了B（偶尔/偶尔回避），说明你并没有完全切断联结,正面,学业,low
原生家庭,comment,回复：是呢，原生家庭必然会对人生乃至性格带来影响，你继续抱怨它受它影响，还是努力挣脱它，都是你的选择，所以选择决定你是一个什么样的人，决定你今后的生活,正面,学业,low
原生家庭,comment,回复：多数人都是没有托举的，都是努力生活的，没有一直怨天尤人，对自己也没什么好处，还是要走出来,正面,学业,low
原生家庭,comment,总结，不要抱怨任何人，抱怨不会让你变好，觉得哪里不好就自己努力去改变,正面,学业,low
原生家庭,comment,加油，尽早躲开令你不幸的人,正面,学业,low
原生家庭,comment,我算是经过几十年的努力之后终于跟原生家庭和解的人，也可以理解父母的曾经，所以我对那些一直挣扎在其中的人更有悲悯,正面,学业,low
原生家庭,comment,我就一边抱怨一边努力哈哈,正面,学业,low
原生家庭,comment,你辛辛苦苦的工作我看得到但那不是你那时候不努力造成的吗,正面,学业,low
原生家庭,comment,考试没考好，小心翼翼面对我，我都跟她说下次再加油就好从小到大都是这样,正面,学业,low
原生家庭,comment,回复：我孩子很外向很活泼开朗的，不是敏感的性格，所以应该是我某个瞬间给她造成的影响,正面,学业,low
原生家庭,comment,回复：听你这么说，我感觉你孩子不是敏感，只是在乎你太在乎你，你们是双向奔赴,正面,学业,low
原生家庭,comment,抱抱你 如果可以还是要看看心理咨询对你有帮助，这种父母等你努力赚钱了早日远离,正面,学业,low
原生家庭,comment,所以无缘无故冲过来扇我耳光,正面,学业,low
原生家庭,comment,现在我一回来就冲上来使劲黏我舔我，啃骨头都要跳到我身上趴着啃，晚上睡觉也要挨着要不然就枕着我胳膊在怀里睡,正面,学业,low
原生家庭,comment,这句话怎么听起来，是不是你们不够努力才买不起…眉笔，有异曲同工之妙啊,正面,学业,low
原生家庭,comment,回复：在加油了,正面,学业,low
原生家庭,comment,努力努力，坐在男人的位置上，可以结婚,正面,学业,low
原生家庭,comment,回复：所以才说自己想要什么生活努力去够一够啊,正面,学业,low
原生家庭,comment,回怼没有意义 多努力学习为以后自己独立打打基础 平时也多向能给你正面情绪的人靠近 等你有了能力 就能离开这样负能量的家了,正面,学业,low
原生家庭,comment,别死啊，等着他老了看好戏呢努力赚钱，好好活着，活的越来越潇洒,正面,学业,low
原生家庭,comment,一个创作者，能够直面自己的内心，就会创作出好的作品，加油,正面,学业,low
原生家庭,comment,回想起这段记忆，越发的觉得羞愧，觉得小时候都虚荣心对不起父母，明明他们一直努力工作，卖力的做生意，给我提供更好的环境和和生活,正面,学业,low
原生家庭,comment,我也是第一次当妈妈，我在努力改变，学着更多去倾听而不是说教，给她充分的自主权去过好自己的生活，可以不结婚生子，可以远离我,正面,学业,low
原生家庭,comment,一起加油吧,正面,学业,low
原生家庭,comment,一是有些伤害的程度比较轻，会被时间冲淡，二是有些父母会在事后及时道歉和多沟通，尽量给予弥补，三是有些问题确实要等孩子经历多了才能真正地理解,正面,学业,low
原生家庭,comment,我就问问说话好冲啊我的妈,正面,学业,low
原生家庭,comment,就是很冲,正面,学业,low
原生家庭,comment,确实很冲 而且我觉得你问的没问题啊,正面,学业,low
原生家庭,comment,我还挺好奇 什么样的冲突 能让父母作出这样的决定的……当然这样确实挺……,正面,学业,low
爸妈吵架,comment,我冲了把冷水脸，但也冷静不下来,正面,学业,low
爸妈吵架,comment,回复：哎，不知道说什么，加油吧,正面,学业,low
爸妈吵架,comment,我们一起加油，替妈妈,正面,学业,low
爸妈吵架,comment,回复：努力课题分离,正面,学业,low
爸妈吵架,comment,辛苦了孩子，从六十几到八十多，你进步好大，一定付出了不为人知的努力吧,正面,学业,low
爸妈吵架,comment,去吃一顿甜品吧，回到学校继续加油💪💪💪💪,正面,学业,low
爸妈吵架,comment,回复：我娃要是努力了，大零蛋我也不会说一句不好听的话,正面,学业,low
爸妈吵架,comment,回复：加油宝贝,正面,学业,low
爸妈吵架,comment,你要相信现在努力的自己是最棒的妈妈也是第一次当妈妈，妈妈们也有自己的苦恼,正面,学业,low
爸妈吵架,comment,可以给我留言聊一聊吧，我家也有娃，我也总忽视他做的好的，进步的那些，只看到那一点点他还没做到位的，很懒愧，不管快慢，不管进步多少，娃在努力，而我却盯着他还没来得及做好的部分,正面,学业,low
爸妈吵架,comment,要是我们家大宝能像你一样这么努力，这么懂事就好了,正面,学业,low
爸妈吵架,comment,你已经很棒了，知道自己努力了，妈妈说你都忍着，加油吧,正面,学业,low
爸妈吵架,comment,只是自己觉得很努力很苦了， 如果是150的卷子，文科从60-80看一个晚上都能做到,正面,学业,low
爸妈吵架,comment,如果是100分的卷子确实是非常努力了，但学习不学习和爸妈有什么关系,正面,学业,low
爸妈吵架,comment,先抱抱你，跟分数无关，跟努力有关,正面,学业,low
爸妈吵架,comment,可以冲破万难，向阳生长,正面,学业,low
爸妈吵架,comment,回复：是的，努力了就好,正面,学业,low
爸妈吵架,comment,第一，我相信你努力了,正面,学业,low
爸妈吵架,comment,回复：哈哈，你这凌乱的表达呀，我以为孩子总是努力不被家长了解呢，没事就好,正面,学业,low
爸妈吵架,comment,为自己努力，加油,正面,学业,low
爸妈吵架,content,手慢无，赶紧囤起来冲～ #假期去哪玩#春节旅游#用一场旅游开启新年#春节去旅行#我就是那么会过年#苏州年夜饭#尹山湖希尔顿酒店#年夜饭#上海周边旅游#春节自驾,正面,学业,low
爸妈吵架,comment,（冬眠版）,正面,学业,low
爸妈吵架,comment,处在人生不同阶段的姐妹们或多或少或深或浅都陷在了可能不那么健康的家庭亲情环境中，抱抱每一位，大家都已经很努力了，大家都很了不起了，如果没有人能理解我们，那我们自己理解自己,正面,学业,low
爸妈吵架,comment,他们吃的苦头为了让生活变得更好，又不是全是你的责任，难道没有你他们就不用生活不用上班吗，不要太被道德绑架，反倒是他们让你产生这样的心理阴影，他们还不合格呢，你会感到内疚，是因为你是一个善良的孩子，加油，会慢慢变好的,正面,学业,low
爸妈吵架,comment,回复：收到🫡努力,正面,学业,low
爸妈吵架,comment,加油姐妹你好棒,正面,学业,low
爸妈吵架,comment,回复：知道对方是故意刺激你，制造更大的冲突，首要是先跳出来，灰岩法则，不要入局,正面,学业,low
爸妈吵架,comment,回复：和我好像，妹妹什么都不用做就获得一切自己需要付出很多努力才能得到的,正面,学业,low
爸妈吵架,comment,回复：姐妹，加油，经济基础决定上层建筑,正面,学业,low
爸妈吵架,comment,加一，同湖南啥也不懂，说什么要不服从调剂，解释了半天又非要我冲会进冷门专业的专业组说你不选冷门专业而且调剂就不会进，都说了我这个分必进冷门，就是不信会调剂，说会滑档（,正面,学业,low
爸妈吵架,comment,把城市定下来，自己的分能报学校就那几个啊，再列出来冲保稳，穿插几个能接受的其他地方的，再考虑一下万一校招进了大学所在地企业，能不能接受，我们一天半基本搞定了,正面,学业,low
爸妈吵架,comment,回复 ZzY- SIMONE : 加油,正面,学业,low
留守,comment,接下来的日子就是努力学习，努力赚钱，别的什么都不要想,正面,学业,low
留守,comment,加油吧，照顾好自己的身体最重要,正面,学业,low
留守,content,两只未飞，一只正在努力练扇翅，另一只应该是小老七，个子最小，翅膀发育应该还不够结实,正面,学业,low
留守,comment,回复：我家条件确实在爸妈努力下变好，就是聚少离多，他们不肯要二胎，说一个就没有管，两个更管不好，老人也没有精力带,正面,学业,low
留守,comment,有没有路人可以给点建议,焦虑,学业,low
留守,comment,大概就是...努力多赚钱吧 钱真的能解决许多许多许多的问题，包括父母的养老问题,正面,学业,low
留守,comment,回复：努力买房子或者租个隔壁给他们养老,正面,学业,low
留守,comment,我那时候胆子大，他家条件不好，没想那么多，直接过来了，好在他很努力，而且孝顺我父母,正面,学业,low
留守,content,网上冲浪时看到一个词“留守妇女”，瞬间我就对号入座了，何出此言呢,正面,学业,low
留守,content,下个赛季，哈登继续搭档米切尔、莫布利，骑士保留核心冲冠阵容,正面,学业,low
留守,content,在外打拼的父母，努力是为了给孩子更好的未来 不用再牵挂留守在家的宝贝，荣昌学校全日寄宿 三餐食宿、学习辅导全程照料，培养孩子独立好习惯，让家长安心打拼💛 #南阳幼升小#南阳寄宿小学#双职工家庭择校#外出务工孩子上学,正面,学业,low
单亲家庭,comment,有人会这么恶意，但是我相信你是真的，加油，生活还在过,正面,学业,low
单亲家庭,comment,那更说明她妈妈付出了巨大的努力啊，又当爸又当妈还当得非常出色,正面,学业,low
单亲家庭,content,经常有朋友跟我说，像我这样长大的小孩，居然能在原生家庭的疼痛里有意识一直努力向上生长，真的已经非常棒了～🌼 现在越来越多单亲家庭出现啦，我也想和大家分享下我的心路历程，和成长经历～🎈 · 介绍下我自己的情况～👩🏻‍🦰 我从6岁开始就是单亲家庭的女孩，跟我父亲生活,正面,学业,low
单亲家庭,content,· 实话说，成长过程中完全忽视掉原生家庭的影响是不太可能，但我想跟大家分享一些我成长的过程里，不断努力向上生长，活出自己人生的一些努力和方法～或许可以帮助正在经历的朋友们作为参考🌻 · 🤍发展和完善除父母以外的健康亲密关系～ 可以是同龄的朋友、老师、其他的亲人、恋人等等,正面,学业,low
单亲家庭,comment,努力默默向上生長ing 抓一隻Meme 給我力量,正面,学业,low
单亲家庭,comment,能把这些事情轻描淡写的说出来不容易，所以也走出来了，加油,正面,学业,low
单亲家庭,comment,留下被冲刷过的我,正面,学业,low
单亲家庭,comment,回复：加油，独立起来,正面,学业,low
单亲家庭,comment,我觉得你的父亲也有npd特征，他能和你母亲的婚姻持续那么久是因为你的母亲能替他冲锋陷阵,正面,学业,low
单亲家庭,content,记得上一年级时，妈妈认真地对我说：“从现在起，你的任务就是好好学习，我的任务是努力赚钱,正面,学业,low
单亲家庭,content,单亲家庭的孩子们，因为单亲，我们比别人更努力、更有力量，也更早成长,正面,学业,low
单亲家庭,comment,回复：你如果自己特别优秀努力，别人反而会因为你的家庭背景更加欣赏你，但如果一直纠结于原生家庭，别人便会因此挑剔你,正面,学业,low
单亲家庭,comment,回复：难道他不是通过自己努力得来的吗,正面,学业,low
单亲家庭,comment,一样 一起加油,正面,学业,low
单亲家庭,comment,回复：一起加油,正面,学业,low
单亲家庭,comment,我和你一样，加油,正面,学业,low
单亲家庭,comment,回复：一起加油,正面,学业,low
单亲家庭,comment,加油，我孩子她爸爸也是去世了,正面,学业,low
单亲家庭,comment,回复：加油我也是,正面,学业,low
单亲家庭,comment,考大学，考研去北京，申请奖学金出国留学，在投了快200份简历，才有1个面试，这些机会，都不是求人求来的，是我因为不想求人，也不想父母去求人，才在可以进步的地方，狠狠努力了,正面,学业,low
单亲家庭,comment,俺是小号，步入高中生活后，全新的环境大大冲淡了我在打破旧的自我建立新的自我中的矛盾感，已经能以正确的态度看待过去了,正面,学业,low
单亲家庭,comment,就像是一棵小树从小就被砍掉其中一个很关键的枝丫，即便活下来，长大了只能努力用别的部分代偿，尽管在别人眼里就是个奇葩就是了,正面,学业,low
单亲家庭,comment,很恰当的比喻……唉，就那一次的精神冲击导致我以后的整个人生都乱七八糟,正面,学业,low
单亲家庭,comment,突然就有个冲动，可以和你做个网友吗,正面,学业,low
单亲家庭,comment,有自己的经济能力了在要，还是要谨慎一点，不要冲动决定，我就是奔4了，也找不到适合的另一半，但是也想有个自己的孩子，工作了也有十多年了，最后选择在杭州要的,正面,学业,low
单亲家庭,content,她起来上厕所，开门，关门，冲水，每一个动静都清清楚楚，把我从快要睡着的边缘拽回来,正面,学业,low
单亲家庭,comment,夫妻关系再好也抵不过时间的冲淡,正面,学业,low
亲子关系,comment,怀孕算冲动，那二十多年赔养也没有恩,正面,学业,low
亲子关系,comment,回复 Q What : 是的~现在的生活很满意，而且也懒得再拼搏了 感觉已经耗尽了,正面,学业,low
亲子关系,comment,只有父母在自己能力范围内尽最大努力拖举和兜底孩子，才是恩,正面,学业,low
亲子关系,comment,只要努力在前进，总会有结果的,正面,学业,low
亲子关系,content,” 🌸人间清醒时刻： 当妈妈的，无需时刻冲锋陷阵、披荆斩棘，只需努力让自己活成熠熠生辉的一道光，孩子便会如同追光的小天使，自然而然地循着光的方向前行,正面,学业,low
亲子关系,comment,停止和她继续沟通和正面冲突,正面,学业,low
亲子关系,comment,搬出家里吧，看到一个说法家庭就是领地，挺有道理的，一个领地很难容纳下两个首领 除非你臣服对方，或是对方顺从你，不然肯定有各种冲突和如鲠在喉，能够有条件离开家庭最好还是离开 否则支付的精神成本比物质成本高多了,正面,学业,low
亲子关系,comment,主要是我自己也开看了，会跟自己心理暗示未来的人生是由自己决定的，所以现在要努力赚钱，父母要尽量远离，我读书的时候几乎从不打电话回家，尽量不受他们的影响,正面,学业,low
亲子关系,comment,抱抱宝这样得不到回应的的环境成长起来现在还在努力感知自己的情绪已经很厉害了，我完全懂的,正面,学业,low
亲子关系,comment,回复：也抱抱姐妹我们都是在努力成长的厉害的人,正面,学业,low
亲子关系,content,﻿#心理老师﻿ ﻿#中学心理﻿ ﻿#亲子沟通﻿ ﻿#青春期心理﻿ ﻿#初高中心理课﻿ ﻿#心理老师备课﻿ ﻿#中学心理健康教育﻿ ﻿#亲子和解﻿ ﻿#亲子冲突﻿﻿,正面,学业,low
亲子关系,comment,回复：现在已经比之前好多了，看了很多育儿书，在养孩子的同时感觉也治愈了一些小时候的自己，比以前能想得开了，有时也能慢慢走出内耗，会继续努力,正面,学业,low
亲子关系,comment,回复：是的，一起加油姐妹,正面,学业,low
亲子关系,comment,接完内耗的电话还能把情绪抛到一边专心陪孩子，这本身就是一种突破，很多妈妈终其一生都在和原生家庭纠缠，你已经迈出了最难的一步，觉察并选择改变，那个努力说“我会”的你，已经在成为你想成为的妈妈了，给自己一点时间，慢慢来,正面,学业,low
亲子关系,content,很多家庭的亲子冲突都印证了书中的观点,正面,学业,low
亲子关系,comment,虽然说遍地都是钱，可是我觉得靠自己努力赚来的才是最实在的,正面,学业,low
亲子关系,comment,我也觉得靠自己努力赚来的钱才是最实在的,正面,学业,low
亲子关系,comment,: 对对对，加油,正面,学业,low
亲子关系,comment,: 加油加油，祝你成功,正面,学业,low
被针对,comment,她脸上挂不住，因为她认为只有努力工作才能过上好生活，没过上好生活之前就要工作拼命,正面,学业,low
被针对,comment,回复：加油，祝你也祝我 以后别再遇到这种人,正面,学业,low
被针对,content,该言论并非客观赛事点评、专业技术分析，而是带有强烈主观偏见、人身调侃的恶意抹黑，公然否定张继科先生的参赛态度与拼搏付出,正面,学业,low
班主任,content,上课上一半忽然开始炫耀自己保送高中，忽然说自己高中没努力不然就能上中国某双一流大学（我以前努力可以成为一个优秀的xx，但是我现在努力只能是一个优秀的政治老师） 闭学式那天劝我们别玩手机就好好讲呀，不要把每个圈子的人都吐槽一遍呀（看韩娱说太暴露，看日漫日娱说全都有军国主义，看短剧说人生生活失败，看红楼梦说伤风败俗） 学校你是说ta跟上高三的原因是只有ta能管住我们班吗（说学校没别的政治老师只能让ta带了）那对不起了会明面上怼ta的已经去体育或者美术集训了哦 ⚠️如有雷同纯属巧合 #学生的命也是命#吐槽#仅个人观点,正面,学业,low
班主任,comment,反耳呢，小语种大多要付出更多的努力,正面,学业,low
班主任,content,""" 当时我以为我听错了，博士也需要每天上网冲浪，刷知乎保持在互联网一线吗",正面,学业,low
班主任,content,——— 包括我也和一些人起过冲突，我突然开始看一些书《非暴力沟通》等，人际关系这一块我需要提升了,正面,学业,low
班主任,comment,抽象且有梗还要融会贯通需要大量的知识储备，敏锐的洞察力和优秀的语言组织能力，真正的抽象是不能按套路提前准备的，你只看到我抽象，却看不到我背后付出的努力...,正面,学业,low
班主任,comment,你这么努力，却还是会输给天赋型选手,正面,学业,low
班主任,comment,对啊，她们不学习还不让别人学习努力,正面,学业,low
班主任,comment,成绩一直是中等偏下的水平，每次在位子上写点东西就有人在那大声说xxx你好努力呀，莫名其妙给我立了一个努力人设，然后考试成绩又考不出,正面,学业,low
班主任,comment,"""哇，xxx好努力啊，这次考试一定是班级第一吧""",正面,学业,low
班主任,comment,回复：加油贝贝,正面,学业,low
班主任,comment,回复 什么都不管 只管努力微笑 : 告诉自己，情绪是对的，放下手中的学习，告诉自己现在心里不爽才是重要的，问问为什么自己心里不爽，什么让自己不爽，怎么解决，然后发泄一下，吼，睡觉，娱乐等等，让你没有负罪感的方式,正面,学业,low
班主任,comment,回复 什么都不管 只管努力微笑 : 那就想着学习，明白自己尽力了，自己没做错什么,正面,学业,low
班主任,comment,加油相信自己,正面,学业,low
班主任,comment,回复：加油 还有一百多天,正面,学业,low
班主任,comment,回复：一起努力,正面,学业,low
班主任,comment,我们一起加油,正面,学业,low
班主任,comment,一起加油哇,正面,学业,low
班主任,comment,我和你一样都是物生地，物理也不好，一起努力吧,正面,学业,low
班主任,comment,宝宝加油，你们是还没放假吗，我们已经放了半个月了,正面,学业,low
班主任,comment,冲着教师资格证去的,正面,学业,low
老师偏心,comment,抱抱你 努力考上一个更好的学校 打脸他,正面,学业,low
老师偏心,comment,你咋知道”“你们张老师（外号终结者）说的”噢……有时候和我说我的成绩怎么怎么的，让我再努力一点,正面,学业,low
老师偏心,content,- 这些问题，不管是出于情感，还是出于实际利益，都让一个努力干活的学生无法接受,正面,学业,low
老师偏心,content,是我还不够优秀努力,正面,学业,low
老师偏心,comment,回复：是呢，加油，别内耗，别把身体搞坏了,正面,学业,low
老师偏心,comment,在她的想法里就是自己努力在“逆天改命”了,正面,学业,low
老师偏心,comment,不是的，市重点最好的班两个女生还天天弄矛盾呢（两个都是冲c9的）,正面,学业,low
老师偏心,comment,回复：我这边重高年级前列的女生人品都超级好的，她们不想着学习也能冲c9的吗,正面,学业,low
老师偏心,comment,练书法不是一蹴而就的，还是坚持下来比较好，可以问问孩子今天心情怎么样，开导一下，我下次也争取找一点形式新颖的练习，咱们一起努力🤝,正面,学业,low
老师偏心,content,很多女孩努力却突破不了瓶颈，就因为身后拖着一个黑洞，能量全被吸走了,正面,学业,low
被罚,comment,这种人离他越远越好，少去跟他争，免得起冲突,正面,学业,low
被罚,comment,孩子们真的要努力学习，中职高职的霸凌都很严重的，最起码接受完义务教育,正面,学业,low
被罚,comment,冬天学生买冲锋衣校服，好像400块，老师说大家也可以不用特别买，里面穿自己衣服外面套一下校服就行，校服都不和学校挂钩，全市任何一个校服店自己随意买，全市统一校服,正面,学业,low
被罚,comment,礼服类冬季的夏季的，针织衫、西装外套、还有御寒类，羽绒服、冲锋衣，.最后挑着买的也花了快2千块,正面,学业,low
被罚,comment,回复：除去羽绒服、御寒服、冲锋衣的价格，一件T恤是多少钱呢,正面,学业,low
被罚,comment,回复：不是厉害，温和的接纳比暴力冲突带来的力量更强大,正面,学业,low
被罚,comment,这个分孩子吧 对那种比较老实胆小的孩子要鼓励他被欺负了要懂得反击 而佳佳这种性格比较活泼容易冲动的 夏安教她遇到矛盾如何冷静处理我觉得没问题,正面,学业,low
被罚,comment,冲动是魔鬼知道吗,正面,学业,low
被罚,comment,回复：动手的人自然会有人处理他，家长只是教小孩怎么处理冲动的情绪,正面,学业,low
被罚,comment,小时候不引导，长大只会被情绪左右冲动做事，大人有更好的能力控制情绪，小朋友是张白纸，需要一步一步引导,正面,学业,low
被罚,comment,回复：真正的力量不是打回去，而是能够化解冲突,正面,学业,low
被罚,comment,但是小朋友之间的打闹，互相还手只会让冲突升级，还会让孩子受伤，无论是自己小孩还是别人家的小孩受伤都是不好的,正面,学业,low
被罚,comment,不发生正面冲突是对的，你又打不过他，想想韩信,正面,学业,low
被罚,comment,一群男孩冲过来把他群殴了,正面,学业,low
办公室谈话,comment,回复：我当时也这么想的 不多想 多努力一点 再努力一点猝不及防没让我转正,正面,学业,low
被孤立,comment,回复：没事的宝宝加油呀,正面,学业,low
被孤立,comment,但不管是因为对方努力过发现无计可施，还是三观不同之后你们逐渐无法理解彼此，或是什么原因，这段缘分已尽，放手是对双方最好的选择，放下吧,正面,学业,low
