original_index,Sentence,LLM_label(0/1/2),LLM三分类标签,bert_prediction,BERT三分类预测,情绪类型,隐含情绪,is_correct
52889,头儿，那一家子十三个人的尸体怎么处理，人多目标大，不好弄啊,0,中性,1,负面,中性,中性,0
22274,说到心上了现在就开始填意向表了还是不知道选什么,1,负面,0,中性,隐含情绪,无助,1
37924,一路前行，下一站更精彩,0,中性,0,中性,中性,中性,1
66527,不能更同意了,0,中性,0,中性,中性,中性,0
6385,真正的问题，是头发没有层次，也没有方向,1,负面,0,中性,显性情绪,,1
1521,太厉害了 我都不知道从何背起 试卷的题也是 创新能给我创飞,1,负面,1,负面,显性情绪,,1
21969,高三生的出路‼️💡这些公办本科你都能上,1,负面,1,负面,隐含情绪,焦虑,1
64912,回复：如果成绩好的话应该还是很有盼头的hh,0,中性,2,正面,中性,中性,1
26875,这种的我敢跟她拼命，我能找准机会也对她们动手，我还能取证报警，甚至利用网络舆论保护自己但是冷暴力你又能做什么呢，你只能自己精神上难受，父母老师不会理解你，同学也可能被小团体带的对你有偏见，你的整个社会环境都在排斥你,1,负面,0,中性,隐含情绪,委屈,1
23061,虽然我是十足的i人… #职场碎碎念#甲方乙方#外企打工人#我的职场感悟,1,负面,0,中性,隐含情绪,自卑,1
24514,回复：只是觉得我们这一辈，父母没有偏心太过的，不会觉得父母生了两个就不可原谅,1,负面,0,中性,隐含情绪,委屈,1
1547,啊这么高,1,负面,0,中性,显性情绪,,0
8697,回复：在哪里看呀,1,负面,0,中性,显性情绪,,0
26538,回复：我是在问为什么啊，也有人给我提了意见，我从自己的各个方面我都有说我的不好啊，我也就是只说了老师挺凶的，我也没有说他哪里哪里的，并且在别人说了我的原因后，我就说那我确实是要改变呀,1,负面,0,中性,隐含情绪,委屈,1
51010,初一时候我先认识了姐姐，那一次正好妹妹不在场，后面第一次见到妹妹的时候，她很自然地就跟我打招呼了，那时候玩就能看出来两个人是共享交际圈的,0,中性,1,负面,中性,中性,1
49229,一家语法偏考试,0,中性,0,中性,中性,中性,1
26651,宝贝怎么啦 咱们跟家长说好不好 跟他们讲你老师体罚你,1,负面,0,中性,隐含情绪,委屈,1
19417,当然我只是随便举个例子，也不是时候自闭症都这样,1,负面,0,中性,显性情绪,,0
55271,生男孩生女孩本来都是自己的娃,0,中性,0,中性,中性,中性,1
46414,小宝宝你方不方便编辑一下 把涉及主题舞美装造的内容删掉 ys节目一旦严重泄漏可能会被砍TY,0,中性,0,中性,中性,中性,1
8675,回复：别硬洗了大姐，自己看了不觉得好笑吗,1,负面,0,中性,显性情绪,,1
59132,长大了，都会好起来的,0,中性,0,中性,中性,中性,1
54097,回复：我是想刚 刚不起来 好懦弱,0,中性,1,负面,中性,中性,0
17618,就像小时候的运动会是以班级为单位的，不分男女，我觉得如果就跑个接力赛，还得分男女，累死了，体育老师也累，学生也累,1,负面,1,负面,显性情绪,,1
44893,回复：我会听他们的话的,0,中性,0,中性,中性,中性,1
55941,我就这种感觉，没事多读读书学习比什么都强，每个人都会多多少少带有原生家庭一些习惯行为情绪，学习怎么稳定剖离的方法就好了，多思考，多读书，如果是刚脱离首先学习稳定的情绪，稳定的人生怎么过先,0,中性,1,负面,中性,中性,1
5412,一样，已破防,1,负面,0,中性,显性情绪,,1
21603,很多朋友但又没有朋友因为是entp吗,1,负面,0,中性,显性情绪,,0
27141,上了大学以后积极地去交朋友，可是又在小团体里面被忽略被疏远了，他们各自私底下会联系聊天，但是从来都没主动找过我聊天，互相朋友圈也点赞评论得特别热情，我也会热情捧场，可是我发朋友圈的时候不点赞也不评论，一次两次也就算了，可是已经有很多次,1,负面,0,中性,隐含情绪,委屈,1
26121,面子好看，别人家孩子都结婚了，她的没有，觉得会被别人说闲话,1,负面,0,中性,隐含情绪,委屈,1
8168,回复：绝大部分也就100,1,负面,0,中性,显性情绪,,0
23720,学会克制表达不是虚伪，是保护自己的社交智慧,1,负面,0,中性,隐含情绪,焦虑,0
35979,宿舍好热……但是她们不让开空调…,0,中性,1,负面,中性,中性,0
8788,回复：我家也是龙凤胎，哥哥妹妹，我觉得谁先出生就该是大的，虽然是剖腹产，但是你胎位注定就是应该第一个或者第二个出来，就像我家宝宝时辰我觉得就是他们自己选的，我早就说下午3点好，那天我早就进手术室了麻醉师就不来，一出生真的是下午3点，还跟爷爷一天生日，我觉得命中注定，但是平时都是一视同仁，哥哥我们也会说让着妹妹，妹妹我们也会说让着哥哥，谦让不应该是美得，现在怎么变味成道德绑架了，乱套了现在太唯利主义了,1,负面,0,中性,显性情绪,,1
15152,后面学业压力上来了估计会顶不住，第一个月我完全在混日子，高中生活里成绩又是不可避免的很重要的一个东西,1,负面,1,负面,显性情绪,,1
16939,回复：那就假装考公，考上了教师父母也没办法,1,负面,1,负面,显性情绪,,0
15753,回复：是的，可能他们的环境背景下容易出NPD,1,负面,0,中性,显性情绪,,1
51429,话说这种视频机场是怎么查到的，咋锁定要查这个人的,0,中性,0,中性,中性,中性,1
56939,到时候婚内给你搞点债务你不得一起背,0,中性,0,中性,中性,中性,1
21760,宝宝我和你是一个想法 但你要这样想 如果她们真的还有念及一丝旧情就不会在这个时候说出来 就算有多不满都会等到毕业之后 而且我们猜不透不正常人的脑子里是在想什么的,1,负面,0,中性,隐含情绪,焦虑,1
39122,为了体测,0,中性,0,中性,中性,中性,1
24332,1、萨拉米香肠切片法 2、脑力冲刺法 3、5分钟晨间启动术 4、手写代替法 5、舒尔特方格法 #小红书游学团#生活走读生#快速进入学习状态#效率#记忆力#专注#把知识装进大脑#学习效率#保研#高绩点#大学生#脑科学你的执行力强吗,1,负面,2,正面,隐含情绪,焦虑/正面,1
26188,父母刷不到系列,1,负面,0,中性,隐含情绪,委屈,1
21187,好友好有爱原本我以为主要是友情以上爱情未满状态，为他们提供机会的,1,负面,1,负面,显性情绪,,0
38390,晓艳老师用自己亲身经历，激励你,0,中性,1,负面,中性,中性,1
16769,回复：˻˳˯ₑ🕊️: 记住你是女人，努力是你的底气，自信是你的资本，微笑是你的标签，方你熬过所有的苦，自然会遇到所有的甜，每天给自己一点希望，努力一点，善良一点,1,负面,1,负面,显性情绪,,0
59107,B.降低自己對你的期望繼續愛你，然後他們選擇的是B,0,中性,1,负面,中性,中性,1
10988,这种家庭一般孩子考不上清华,1,负面,1,负面,显性情绪,,1
22434,晚上早睡半小时后被翻书声吵醒了，然后人家学完躺下了，我失眠俩小时,1,负面,1,负面,隐含情绪,焦虑,1
19148,回复：哈哈哈哈哈哈那还挺好的,1,负面,2,正面,显性情绪,,0
24137,让家长管，老师也会被举报,1,负面,0,中性,隐含情绪,焦虑,1
63223,孩子问父母：“我为什么要听你的,0,中性,0,中性,中性,中性,0
23788,可是班主任要陪跑啊,1,负面,0,中性,隐含情绪,自卑,0
70097,回复：这是真的，我高中都是11点才不让说话,0,中性,1,负面,中性,中性,1
47599,醒到现在,0,中性,0,中性,中性,中性,1
70380,会吐槽，但远不远离是朋友自己的判断，我既不能干涉那个人，也不能干涉我朋友,0,中性,0,中性,中性,中性,1
65274,不能换，就一句话：心态直接敞开，拿的起放的下,0,中性,0,中性,中性,中性,1
16738,回复：跟我这里面一个女生一样 问3遍才回应你 恨不得把耳朵放她嘴上 声音小的听不清 有个老师只问了你是不愿意学还是学不会 直接哭了,1,负面,1,负面,显性情绪,,1
56973,一样……,0,中性,0,中性,中性,中性,1
18168,回复：你最后一句话说的太好了我的天,1,负面,1,负面,显性情绪,,0
27429,如果你真的很想好好学习那坐在所谓的雅座也是一个很好的选择，怎么选看你，你描述的这个状态我认为你自己单座会更好,0,中性,1,负面,中性,中性,1
17501,正常，小学到大学都有遇到，他們会说你闲話是沒有理由的，哪怕你沒招惹到他們，他們都是今天看这不順眼就說这人，明天看那人不順眼就說他，有时候左耳进右耳出就好，太过分了就找人一起骂他,1,负面,1,负面,显性情绪,,1
58033,回复：好好活着，就是弥补了，你是妈妈身上掉下来的肉，妈妈去天堂了但还有你-她的一部分留在这世上，好好过日子就好🙏,0,中性,0,中性,中性,中性,1
67669,回复：真的真的,0,中性,0,中性,中性,中性,1
66765,孩子被老师打了，我也是老师，这还是我同事，我应该怎么处理好,0,中性,1,负面,中性,中性,0
72764,前面都正常，但最后一个知道要早八舍友睡过头喊一下也不费劲吧，舍友都考虑到你早睡关灯小声玩游戏了,0,中性,0,中性,中性,中性,0
12114,而且也不是做家务就是不幸福的,1,负面,1,负面,显性情绪,,0
24923,回复：唉我妈妈也是,1,负面,0,中性,隐含情绪,焦虑,1
60791,我们要结婚了,0,中性,0,中性,中性,中性,1
36978,上了高中基本晚上十二点前后睡觉,0,中性,0,中性,中性,中性,0
13246,实在难受的话，不妨保持一定的距离，但是也没有必要完全离开他们，找到一个你觉得不会难受的距离，如果他们已经有所改变了，没有再像以前那样对待你了，话你可以慢慢去想办法解开心结，这个就像是老是挨，打的人别人一抬手他就觉得要被打了，只能通过时间以及你自己的内心慢慢变得强大起来，老人一般都不会觉得自己有错的，毕竟他们也有可能经历过这些，就容易觉得理所当然，加油，你是最棒的,1,负面,0,中性,显性情绪,,0
22052,人家干自己的关你啥事啊,1,负面,0,中性,隐含情绪,愤怒,1
61303,就是对于婚姻的看法，他觉得结婚了就会离婚,0,中性,0,中性,中性,中性,1
59954,先尝试买背带，然后让他们熟悉背带，过几天再试试带上背带，再家门口试探再尝试吧,0,中性,0,中性,中性,中性,1
43594,我又薄又凉 谁懂,0,中性,0,中性,中性,中性,1
27703,记得回我,0,中性,0,中性,中性,中性,1
12877,我跟你差不多，区别就是我爸喜欢窝里横，让我心累,1,负面,1,负面,显性情绪,,1
26668,回复：非常认同,1,负面,0,中性,隐含情绪,自卑,0
20757,这个设计的挺好的，每天睡觉之前和孩子互动，孩子特别喜欢,1,负面,1,负面,显性情绪,,0
71409,回复：其实不用太在意别人 因为每个人都是独立的个体 跟她们一块除了闲聊八卦别的什么都得不到 自强才是根本 你可以多出去学习或者走走 少在宿舍呆着过几天她们就来贴你了,0,中性,0,中性,中性,中性,1
8463,回复：我以前也是这样，但上了大学之后我就逼着自己去改变，不然以后工作，面试，社交真是要死了，这几年也算是小有成果,1,负面,0,中性,显性情绪,,0
6892,回复：老师把我叫上讲台 开始质问我 生物老师是女生 挺年轻 差不多20多岁 在批评的时候政治老师刚好进来 看到了这一幕 那时候我心彻底凉了 因为我知道他肯定会把这件事告诉我们班主任 (英语老师 班主任 女生 四十多岁 ) 后来生物老师让我抄了知识点 没啥事了 就在今天 上英语课的时候 我没发现卷子 便上去问老师要卷子 但是老师却说别人都有怎么就你没有 后面反正态度很差（可能是我没送上礼的一些原因 我们老师弄得一个补课班 大部分班了同学都去了）后面极不情愿的甩给我一张卷子 我下讲台后 她还说了一句生物还打小抄的 一开始担心老师的看法 现在更担心了 不过更加担心同学眼里的看法 自己班上的同学该玩还是玩,1,负面,1,负面,显性情绪,,1
39051,教室里为什么不让留人,0,中性,1,负面,中性,中性,0
19118,回复：或许我也有这样一个朋友，可能因为她不会表达其他的更多的东西，所以我总感觉她是空的，直到我听她讲，慢慢引导告诉她一些道理，听她讲除事物之外的道理，她能满一点点，但除此之外，好像都还是空空的，所以我大多时候把她当小孩子去对待，具体情况你自己看吧，尊重个体差异，尽力就好,1,负面,0,中性,显性情绪,,1
15315,能接受就有一个女儿和和美美，不能接受别说孙子孙女女婿了，连女儿都没有了，爱咋咋滴，谁都不是为别人活的,1,负面,1,负面,显性情绪,,1
1921,我差不多就这样。每次看到部分内容，心想，老师会出关于这的题，不可能吧。遂，略过。 打开试卷。完辣！嗨，你还真考这个啊。,1,负面,1,负面,显性情绪,,1
26658,以前老师体罚学生#校园#体罚教育,1,负面,0,中性,隐含情绪,委屈,1
1205,怎么ip甘肃了,1,负面,0,中性,显性情绪,,0
12601,一看到爸妈吵架，就心烦,1,负面,1,负面,显性情绪,,1
64207,#校园#高中生心理状态#师生关系,0,中性,0,中性,中性,中性,1
38447,回复：放松放松，会好的,0,中性,0,中性,中性,中性,1
13388,到现在我还是随时都可以哭出来，可能接受至亲离世真的需要一辈子吧,1,负面,1,负面,显性情绪,,1
33155,小升初暑假衔接总复习，赢在起跑线,0,中性,2,正面,中性,中性,1
64325,上课讲到一半炫耀自己赛课得了第几名，班里同学起哄说“哇”她还以为我们在夸她,0,中性,2,正面,中性,中性,0
40133,老婆的都不洗，哎呀,0,中性,0,中性,中性,中性,0
36661,我不是那种有规划的人...我就一直跟着学校的,0,中性,0,中性,中性,中性,0
8692,偏心，不想放手,1,负面,0,中性,显性情绪,,1
51606,回复：好友删了应该同步也看不到吧,0,中性,0,中性,中性,中性,1
7425,主播想看那种小众一点的 不像南洋小岛 我家里很穷这种很经典著名的 这种主播已经看了无数遍了哈哈 主播比较喜欢像《暑假的回忆》这样的 大家推荐的我都会去看 然后去推荐大家看一下小丸子的朦胧小剧场特别细腻 二编：看到大家的分享真的好幸福呀 感觉世界各地的人都因为小丸子而产生共鸣（语言匮乏中）喜欢和大家聊天呀 三编：想收一套小丸子漫画 和《桃子手记》谁能助力主播 #樱桃小丸子#小丸子,1,负面,1,负面,显性情绪,,0
3456,受教了🥺领导说的保持饥饿感是连水都别喝,1,负面,0,中性,显性情绪,,1
26436,你好我想问一下，我觉得我的老师在针对我，今天上课我没有带书和别人和看，她让我回去做自己的事，这样我这一节课就听不到了因为讲的内容都是学案上的题目，可是之前别人没有带据我所知她都允许合看了，我课后就去问她为什么，她说因为我上午没有去借或者找她解决，我说合看是我想的解决办法，并不知道她会不允许合看，为什么从我开始不允许，她说在我之前有两个同学她已经不允许过了，她没有理由针对我，我也相信她没有理由针对我，可是我后来去问那两个同学，他们也表示他们之前并没有经历过不允许的情况,1,负面,0,中性,隐含情绪,委屈/正面,1
54284,男主有个问题，一开始就不该容忍,0,中性,0,中性,中性,中性,1
25000,可能我真的有病吧，我一觉睡醒我觉得我是脑子抽了才写下这些文字,1,负面,0,中性,隐含情绪,愤怒,1
14338,回复：过于真实,1,负面,0,中性,显性情绪,,0
46216,写了吗让我看看吧 我也是,0,中性,0,中性,中性,中性,1
41956,应该是的,0,中性,0,中性,中性,中性,1
18104,回复：会一直支持有温暖的品牌的，每年都给我闺女买超多戴维贝拉的衣服，质量真的没的说建议可以考虑发起一下捐赠七八成新衣服的活动，我们家真的有很多衣服,1,负面,0,中性,显性情绪,,0
65196,不过你这是啥老师啊，字都打不清楚,0,中性,0,中性,中性,中性,0
25315,回复：在加油了,2,正面,2,正面,隐含情绪,正面,1
18476,#拯救职场不开心#高情商回复#每日一问#高情商话术#职场日常#同事关系#说话技巧#高情商沟通#发自内心的疑问#高情商小技巧,1,负面,1,负面,显性情绪,,0
64195,被相处近十年自认为最好的朋友毫不留情的孤立、排挤、撕逼，最后我被迫选择放手,0,中性,1,负面,中性,中性,0
62227,敬而远之,0,中性,0,中性,中性,中性,1
26159,回复：怎么看到我妈回消息了,1,负面,1,负面,隐含情绪,焦虑,0
3146,感谢老师，感谢命题组老师，感谢监考老师，感谢阅卷老师，感谢党和人民，感谢一切帮助过我的人，感谢一切，🙏感谢一切力量帮我成功上岸🙏🙏🙏,1,负面,1,负面,显性情绪,,1
14222,回复：刚来深圳进的比较大的地产开发公司，后来去了银行，再后来因为懒，不想上班，十年前离职到现在,1,负面,0,中性,显性情绪,,1
44315,回复：欢迎常回来看看,0,中性,0,中性,中性,中性,1
46612,我只看到了绩点被拉高,0,中性,0,中性,中性,中性,1
71387,感觉孤立跟过家家一样 我的话个人并不在意,0,中性,1,负面,中性,中性,0
25025,但还有一个想不明白的，为什么总是真假‘千金’，而没有真假‘少爷’,1,负面,0,中性,隐含情绪,委屈,1
7444,比较哲学的感觉 大概内容是姐姐早上算出丸子今天运气特别特别好 结果这一天差点发生很多让丸子倒霉的事（但都因为丸子运气好而躲过去了）在丸子的视角里今天是个很平凡的一天 但能过平凡的日子也是极其幸福的事,1,负面,1,负面,显性情绪,,0
24824,说出了社会你就知道了，父母都忍不了怎么跟别人相处,1,负面,0,中性,隐含情绪,委屈,1
62092,是的我家换了3房我才敢生二胎,0,中性,1,负面,中性,中性,0
3399,回复：我们班最早放,1,负面,0,中性,显性情绪,,0
60143,回复：预约了预约了,0,中性,0,中性,中性,中性,1
42896,你姐更惨，结了婚还要被妈妈打,0,中性,1,负面,中性,中性,0
38148,回复：没有，互掐一下,0,中性,0,中性,中性,中性,1
14708,19年，中秋节，因为离国庆很近，我想国庆再回家看我爸爸，所以我们一家三口高高兴兴吃完午饭，我哥哥打电话给我，说我爸爸走了，摔了一跤就走了,1,负面,1,负面,显性情绪,,1
35842,回复：噢噢噢噢,0,中性,0,中性,中性,中性,1
24706,在别的评论区底下看到的，我们这些牛马浑身上下只有内裤是纯棉的,1,负面,0,中性,隐含情绪,自卑,1
49065,一个孩子的精力是有限的，能学好课内知识，做好老师给的习题，比校外补课强多了,0,中性,1,负面,中性,中性,1
26453,尝试打破学生信任呢，把这些聊天记录全都发给他的家长，一定要让他知道他发给你的无论什么内容都会被他家长知道,1,负面,0,中性,隐含情绪,焦虑,1
25026,回复：我还看过穿成真千金的，干什么都要diss真千金一下，拜托呢，你占着人家的身份拿着钱你还要贬低人家，而且亲生父母一家都不是好东西，结果最后大家都包饺子，全书最惨之人是真千金，甚至真千金还是饿死在路边女主才穿过来的,1,负面,0,中性,隐含情绪,委屈,1
24691,硬盘：东芝 TLC 东芝是主流的硬盘供应商之一，虽然不如三星顶级，但TLC颗粒的性能和耐用性对于日常使用（拍照、App、游戏）完全足够，不必过分纠结,1,负面,1,负面,隐含情绪,自卑,0
519,#一点都不快乐#乱七八糟#希望你永远不懂#高中生的精神状况#理科生##不会再想回到高中了,1,负面,1,负面,显性情绪,,1
10468,我朋友女儿角色做的非常好，给家里4套房装修，买家具家电，弟弟结婚大几十万也是姐姐给的，出钱出力永远都是姐姐，但是依旧得不到父母的真爱,1,负面,1,负面,显性情绪,,1
16445,谁不想急头白脸的把贞德抱回家呢,1,负面,1,负面,显性情绪,,0
65366,回复：哈哈但是我的课代表都是淘小子，女孩我还是很少动手的，也有皮的,0,中性,0,中性,中性,中性,1
21800,封面是自己写的 这个配色怎么样#发一张你学习时的照片吧[PK]#,1,负面,0,中性,隐含情绪,焦虑,0
7192,回复：真出事，只有公职人员可能上去，家长很多是妈妈，爷爷奶奶辈，出工出不了力，不会上去,1,负面,0,中性,显性情绪,,0
67719,如果是因为不干净那就让他多洗几遍或者你看着同事洗，如果是单纯不愿意那就说清楚,0,中性,0,中性,中性,中性,1
17222,教过的小学生，初中生，高中生没有一个怕我的，真是不听我的话，怎么做能成为那种让学生听话的老师#学生和老师#老师,1,负面,1,负面,显性情绪,,1
61699,一个有做头发，有做美甲，天天化妆并且朋友圈还有去旅游的照片居然申请上了特别贫困,0,中性,0,中性,中性,中性,0
19289,回复：确实哈，稍微有开心一点了,1,负面,1,负面,显性情绪,,0
2281,你怎么学的呀呜呜呜,1,负面,1,负面,显性情绪,,1
68969,回复 我真棒,0,中性,0,中性,中性,中性,0
41887,我基本每星期都搞卫生间，感觉一个卫生间至少半小时，还只搞镜子，马桶，玻璃门,0,中性,0,中性,中性,中性,1
22670,🔥2026版AP Classroom 全科CB官方题库来啦 AP备考/国际生/老师备课都能用❗❗ ✅覆盖超全科目： 微积分AB/BC、预备微积分 微观经济｜宏观经济 计算机CSA/CSp｜统计 生物｜化学｜心理学 物理1｜物理2｜物理C力学｜物理C电磁 环境科学｜英语文学与写作 人文地理｜世界历史 📚题库内容： 按单元分模块练习题 选择题+简单题+完整答案 题量超大 知识点全覆盖 刷题提分、考前冲刺、备课刷题直接拿捏💯 ⚠️重要说明： 人文地理、世界历史只有选择题 其余科目题型齐全 拿来就能刷 不用到处找零散资料 一套搞定全科AP备考✨ #AP考试#2026AP#APClassroom#CB官方题库#AP备考#AP微积分#AP经济#AP计算机#AP物理#AP生物#AP化学#AP心理#AP人文地理#AP世界历史#国际课程#AP冲5分,1,负面,0,中性,隐含情绪,焦虑/正面,0
